,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
236,151183698.71533537,0.0,60814200.892924204,0.014821248530363642,953000000.0,0.0
237,109448217.91765803,0.0,49497524.54636512,0.01298621598316114,946900000.0,0.0
238,230932932.5328355,0.0,54328450.22801216,0.007410624265181821,348200000.0,0.0
239,90462322.17815001,0.0,145210712.47997898,0.0008892749118218185,92100000.0,5365.025404908399
240,42291505.65437629,0.0,70240716.16483334,0.03735776914765409,302400000.0,0.0
241,60717312.84309486,0.0,240511138.38105175,0.0,205800000.0,4814.388512651821
242,201061575.88404053,0.007691751725578184,91728116.19613521,0.016617742042169936,0.0,0.0
243,131457643.0999583,0.0060791250511546295,29560603.156886727,0.004070629503752164,30700000.0,6623.282631636772
244,82177854.37813279,0.0,96681166.58116394,0.007527860458181384,400400000.0,0.0
245,127568368.5380355,0.0,36017352.68235521,0.0149392848429983,286800000.0,3206.6841786548175
246,85246019.34861892,0.0,96428441.34923567,0.04272831737458971,0.0,0.0
247,135274189.70659953,0.0,88312137.95112239,0.0023941845745465576,213300000.0,931.4347287700823
248,176891955.5700104,0.0060791250511546295,76442825.34212352,0.005259616557802728,121200000.0,3881.0253714115374
249,117657018.40774402,0.0,63489874.4905345,0.023773458463193342,357700000.0,0.0
250,95213987.28559849,0.0,85623117.5405539,0.02258175995807297,454300000.0,0.0
251,179711315.8072363,0.0,78698113.3638829,0.02922667531453585,460200000.0,0.0
252,68139002.95605196,0.0,124088544.72281986,0.01159148659159203,400400000.0,0.0
253,125043551.49815606,0.0,82006672.87217098,0.05072512260476933,302400000.0,0.0
254,0.0,0.0,188821762.91688135,0.0,267200000.0,2237.220289713847
255,210412756.01456407,0.0,62585783.83541928,0.010560592005367138,297900000.0,0.0
256,149092072.88558653,0.0,138955938.39222026,0.004125336701556776,1343800000.0,0.0
257,193811564.55897725,0.05065937542628858,108083458.32956028,0.0,121200000.0,0.0
258,32694901.094161935,0.0,55236625.64098555,0.06343020515724603,423600000.0,0.0
259,185979977.8209984,0.05065937542628858,82571683.4759498,0.039858659546744266,0.0,0.0
260,42291505.65437629,0.0,59684505.969125375,0.0023545789983563706,115300000.0,4665.611441510954
261,213168125.67203605,0.0,59848483.79055184,0.013832671150924354,30700000.0,0.0
262,58934939.846400745,0.02307525517673455,148478841.59446153,0.0,0.0,0.0
263,160761379.97890908,0.015197812627886576,112832601.01821715,0.0,30700000.0,1673.6072712943615
264,109423197.42458755,0.06604287887744495,66728027.209831744,0.03300068398507977,0.0,0.0
265,68139002.95605196,0.0,180339828.74769464,0.0,460200000.0,0.0
266,71223146.50296113,0.0,19405759.62733647,0.00331719549038189,765700000.0,1041.3263713111005
267,249537648.9634626,0.0,70240716.16483334,0.03735776914765409,0.0,0.0
268,176837172.6879249,0.0,29367021.15067353,0.033872639937109456,672100000.0,0.0
269,133184765.95309454,0.0,48644185.496534824,0.01193080870975734,648900000.0,0.0
270,144075745.84278923,0.0,29367021.15067353,0.033872639937109456,408000000.0,0.0
271,161223025.19821814,0.05065937542628858,108083572.93596858,0.0014874273347288763,0.0,0.0
272,42291505.65437629,0.0,223145243.47532117,0.0,339000000.0,0.0
273,76431543.68310125,0.0,55527507.62774458,0.009613871409282685,217800000.0,4015.031332593754
274,248410761.78812402,0.0,13840815.352812577,0.001900906560966085,1207400000.0,2908.483370165136
275,53972506.18695759,0.0,120892243.43187523,0.0,371400000.0,0.0
276,134644726.2576002,0.0,36017352.68235521,0.04149801345277306,30700000.0,0.0
277,101526442.81664267,0.018237375153463888,57108940.43290274,0.007869381616720813,30700000.0,1499.3326163364998
278,195657891.8894575,0.05065937542628858,68355053.85445751,0.017007073524720535,0.0,0.0
279,0.0,0.0,128288407.5919503,0.005523246417292622,753100000.0,0.0
280,89068254.21950817,0.0,58217297.62049719,0.008425524501194782,115300000.0,1674.7474876390186
281,72222705.9376919,0.0,251478919.64097834,0.0,698400000.0,854.9225728019387
282,0.0,0.0,106385823.61214772,0.021634082726104707,248500000.0,0.0
283,0.0,0.0,171619378.94915497,0.007801411575180353,115300000.0,0.0
284,82486364.32617709,0.0,91716560.9245761,0.01097165989963737,0.0,0.0
285,158578444.843904,0.0,228335612.75899953,0.0,357700000.0,1609.4367025132246
286,0.0,0.0,121072918.76563892,0.008209533024349461,279200000.0,0.0
287,89068254.21950817,0.0,55236625.64098555,0.022834873856608567,802600000.0,1781.310360187881
288,0.0,0.0,132221119.25366534,0.012730044113037672,369700000.0,0.0
289,32694901.094161935,0.0,19714713.83173465,0.022818053760543265,535300000.0,0.0
290,130919728.8845366,0.0,29213068.636122655,0.03352212572267153,357700000.0,0.0
291,155725077.56163484,0.015197812627886576,84413519.67491516,0.0018769710688257995,30700000.0,4653.025769732174
292,76431543.68310125,0.0,19457251.99473615,0.022231872795545463,1039900000.0,0.0
293,32694901.094161935,0.0,78714873.32194087,0.014613337657267925,667700000.0,0.0
294,71223146.50296113,0.0,259094268.1014499,0.0,279200000.0,3711.351154565938
295,107082885.12372062,0.05065937542628858,52896991.13344766,0.017349235056464872,0.0,0.0
296,143356957.13390714,0.0,218040838.5480165,0.0,327000000.0,0.0
297,32694901.094161935,0.0,79188245.99459465,0.0054763329025303824,363800000.0,3446.2798175425924
298,115272862.040791,0.0,55527507.62774458,0.02307329138227844,84600000.0,2632.85542575287
299,72222705.9376919,0.0,95795591.00113314,0.0027542394093193973,517400000.0,0.0
300,95486976.46933737,0.0,78988117.03118831,0.02258175995807297,492600000.0,0.0
301,42291505.65437629,0.0,54891811.9439793,0.019316802352536907,363800000.0,0.0
